02912	28806023	com	Open COM3 @ 115200 baud Ctrl-X (UsbSerial)
04547	29005283	tx	[3F]
04548	29005288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04549	29005533	tx	[3F]
04550	29005538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04551	29005783	tx	[3F]
04552	29005788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04553	29006032	tx	[3F]
04554	29006037	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04555	29006283	tx	[3F]
04556	29006288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04557	29006533	tx	[3F]
04558	29006538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04559	29006782	tx	[3F]
04560	29006790	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04561	29007033	tx	[3F]
04562	29007040	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04563	29007284	tx	[3F]
04564	29007289	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04565	29007532	tx	[3F]
04566	29007537	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04567	29007782	tx	[3F]
04568	29007788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04569	29008033	tx	[3F]
04570	29008038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04571	29008282	tx	[3F]
04572	29008287	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04573	29008532	tx	[3F]
04574	29008538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04575	29008782	tx	[3F]
04576	29008788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04577	29009032	tx	[3F]
04578	29009038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04579	29009282	tx	[3F]
04580	29009289	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04581	29009533	tx	[3F]
04582	29009542	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04583	29009783	tx	[3F]
04584	29009788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04585	29010034	tx	[3F]
04586	29010039	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04587	29010282	tx	[3F]
04588	29010287	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04589	29010534	tx	[3F]
04590	29010540	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04591	29010783	tx	[3F]
04592	29010789	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04593	29011032	tx	[3F]
04594	29011044	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04595	29011283	tx	[3F]
04596	29011288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04597	29011532	tx	[3F]
04598	29011537	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04599	29011783	tx	[3F]
04600	29011791	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04601	29012032	tx	[3F]
04602	29012039	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04603	29012284	tx	[3F]
04604	29012289	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04605	29012532	tx	[3F]
04606	29012546	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04607	29012783	tx	[3F]
04608	29012789	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04609	29013032	tx	[3F]
04610	29013037	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04611	29013283	tx	[3F]
04612	29013288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04613	29013534	tx	[3F]
04614	29013539	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04615	29013782	tx	[3F]
04616	29013788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04617	29014033	tx	[3F]
04618	29014039	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04619	29014282	tx	[3F]
04620	29014289	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04621	29014532	tx	[3F]
04622	29014539	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04623	29014782	tx	[3F]
04624	29014787	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04625	29015032	tx	[3F]
04626	29015038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04627	29015282	tx	[3F]
04628	29015288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04629	29015532	tx	[3F]
04630	29015537	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04631	29015783	tx	[3F]
04632	29015788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04633	29016033	tx	[3F]
04634	29016039	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04635	29016283	tx	[3F]
04636	29016288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04637	29016532	tx	[3F]
04638	29016537	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04639	29016782	tx	[3F]
04640	29016789	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04641	29017033	tx	[3F]
04642	29017040	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04643	29017282	tx	[3F]
04644	29017288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04645	29017532	tx	[3F]
04646	29017537	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04647	29017782	tx	[3F]
04648	29017787	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04649	29018032	tx	[3F]
04650	29018037	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04651	29018283	tx	[3F]
04652	29018288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04653	29018533	tx	[3F]
04654	29018538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04655	29018783	tx	[3F]
04656	29018789	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04657	29019034	tx	[3F]
04658	29019039	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04659	29019284	tx	[3F]
04660	29019295	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04661	29019533	tx	[3F]
04662	29019540	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04663	29019782	tx	[3F]
04664	29019792	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04665	29020032	tx	[3F]
04666	29020037	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04667	29020293	tx	[3F]
04668	29020299	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04669	29020532	tx	[3F]
04670	29020537	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04671	29020782	tx	[3F]
04672	29020792	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
